Elapsed Time (s),Displacement (mm)
0.374117627,86.93612294
0.374705863,86.93612294
0.375294098,87.34302191
0.375882333,87.34302191
0.376470569,87.34302191
0.377058803,87.34302191
0.377647039,87.99678936
0.378235274,87.99678936
0.37882351,87.99678936
0.379411745,87.99678936
0.379999981,87.99678936
0.380588215,88.4038467
0.381176451,88.65081282
0.381764686,88.65081282
0.382352921,88.65081282
0.382941157,89.05750938
0.383529391,89.05750938
0.384117627,89.05750938
0.384705862,89.05750938
0.385294098,89.05750938
0.385882333,89.71146052
0.386470568,89.71146052
0.387058803,89.71146052
0.387647039,89.71146052
0.388235274,90.11831332
0.38882351,90.11831332
0.389411744,90.11831332
0.389999979,90.11831332
0.390588215,90.77210986
0.39117645,90.77210986
0.391764686,90.77210986
0.39235292,90.77210986
0.392941156,90.77210986
0.393529391,91.17928386
0.394117627,91.17928386
0.394705862,91.42613546
0.395294097,91.42613546
0.395882332,91.83287687
0.396470568,91.83287687
0.397058803,91.83287687
0.397647038,91.83287687
0.398235274,91.83287687
0.398823508,92.48671618
0.399411744,92.48671618
0.399999979,92.48671618
0.400588215,92.48671618
0.401176449,92.48671618
0.401764685,92.89369143
0.40235292,93.14091515
0.402941156,93.14091515
0.403529391,93.14091515
0.404117626,93.54746637
0.404705861,93.54746637
0.405294096,93.54746637
0.405882332,93.54746637
0.406470567,93.54746637
0.407058803,94.20137703
0.407647037,94.20137703
0.408235273,94.20137703
0.408823508,94.20137703
0.409411744,94.6081605
0.409999979,94.6081605
0.410588214,94.6081605
0.411176449,94.6081605
0.411764684,95.26206044
0.41235292,95.26206044
0.412941155,95.26206044
0.41352939,95.26206044
0.414117625,95.26206044
0.414705861,95.26206044
0.415294096,95.91622695
0.415882331,95.91622695
0.416470566,95.91622695
0.417058802,96.32273967
0.417647037,96.32273967
0.418235272,96.32273967
0.418823508,96.32273967
0.419411742,96.32273967
0.419999978,96.97675995
0.420588213,96.97675995
0.421176449,96.97675995
0.421764684,96.97675995
0.42235292,97.38358298
0.422941154,97.38358298
0.42352939,97.38358298
0.424117625,97.38358298
0.424705861,97.38358298
0.425294096,98.03732219
0.42588233,98.03732219
0.426470566,98.03732219
0.427058801,98.03732219
0.427647037,98.44436507
0.428235271,98.44436507
0.428823507,98.44436507
0.429411742,98.69145811
0.429999978,99.09810053
0.430588213,99.09810053
0.431176448,99.09810053
0.431764683,99.09810053
0.432352919,99.09810053
0.432941154,99.75209444
0.433529389,99.75209444
0.434117625,99.75209444
0.434705859,99.75209444
0.435294095,99.75209444
0.43588233,99.75209444
0.436470566,100.1588695
0.437058801,100.4062043
0.437647037,100.4062043
0.438235271,100.4062043
0.438823507,100.8126721
0.439411742,100.8126721
0.439999977,100.8126721
0.440588212,100.8126721
0.441176447,100.8126721
0.441764683,101.466779
0.442352918,101.466779
0.442941154,101.466779
0.443529388,101.466779
0.444117624,101.8733778
0.444705859,101.8733778
0.445294095,101.8733778
0.44588233,101.8733778
0.446470565,102.5273468
0.4470588,102.5273468
0.447647035,102.5273468
0.448235271,102.5273468
0.448823506,102.5273468
0.449411742,102.9342428
0.449999976,103.1815628
0.450588212,103.1815628
0.451176447,103.1815628
0.451764683,103.5880763
0.452352918,103.5880763
0.452941153,103.5880763
0.453529388,103.5880763
0.454117623,103.5880763
0.454705859,104.2420184
0.455294093,104.2420184
0.455882329,104.2420184
0.456470564,104.2420184
0.4570588,104.6487423
0.457647035,104.6487423
0.458235271,104.6487423
0.458823505,104.6487423
0.459411741,104.6487423
0.459999976,105.3026877
0.460588212,105.3026877
0.461176447,105.3026877
0.461764681,105.3026877
0.462352917,105.7095318
0.462941152,105.7095318
0.463529388,105.7095318
0.464117623,105.9567885
0.464705858,106.3633454
0.465294093,106.3633454
0.465882329,106.3633454
0.466470564,106.3633454
0.4670588,106.3633454
0.467647034,106.3633454
0.46823527,107.017347
0.468823505,107.017347
0.46941174,107.017347
0.469999976,107.017347
0.47058821,107.4241084
0.471176446,107.4241084
0.471764681,107.4241084
0.472352917,107.4241084
0.472941152,108.077946
0.473529387,108.077946
0.474117622,108.077946
0.474705858,108.077946
0.475294093,108.077946
0.475882328,108.077946
0.476470563,108.4849074
0.477058798,108.4849074
0.477647034,108.7321039
0.478235269,109.1387021
0.478823505,109.1387021
0.47941174,109.1387021
0.479999975,109.1387021
0.48058821,109.1387021
0.481176446,109.1387021
0.481764681,109.7926455
0.482352916,109.7926455
0.482941151,109.7926455
0.483529386,109.7926455
0.484117622,110.1994424
0.484705857,110.1994424
0.485294092,110.1994424
0.485882327,110.1994424
0.486470563,110.8532923
0.487058798,110.8532923
0.487647034,110.8532923
0.488235269,110.8532923
0.488823504,110.8532923
0.489411739,111.2602841
0.489999974,111.2602841
0.49058821,111.2602841
0.491176445,111.2602841
0.49176468,111.9139753
0.492352915,111.9139753
0.492941151,111.9139753
0.493529386,111.9139753
0.494117622,111.9139753
0.494705857,111.9139753
0.495294092,112.3211577
0.495882327,112.3211577
0.496470562,112.5679806
0.497058798,112.9748114
0.497647032,112.9748114
0.498235268,112.9748114
0.498823503,112.9748114
0.499411739,112.9748114
0.499999974,112.9748114
0.500588209,113.6285556
0.501176444,113.6285556
0.50176468,113.6285556
0.502352915,113.6285556
0.502941151,114.0355761
0.503529386,114.0355761
0.50411762,114.0355761
0.504705856,114.0355761
0.505294091,114.6893357
0.505882327,114.6893357
0.506470562,114.6893357
0.507058797,114.6893357
0.507647032,114.6893357
0.508235268,115.0965421
0.508823503,115.0965421
0.509411739,115.0965421
0.509999973,115.0965421
0.510588209,115.7500962
0.511176444,115.7500962
0.511764679,115.7500962
0.512352914,115.7500962
0.512941149,115.7500962
0.513529385,116.1574847
0.51411762,116.1574847
0.514705856,116.1574847
0.515294091,116.1574847
0.515882326,116.8110062
0.516470561,116.8110062
0.517058797,116.8110062
0.517647032,116.8110062
0.518235267,116.8110062
0.518823503,116.8110062
0.519411737,117.2185735
0.519999973,117.4646978
0.520588208,117.4646978
0.521176444,117.871927
0.521764679,117.871927
0.522352914,117.871927
0.522941149,117.871927
0.523529385,117.871927
0.52411762,117.871927
0.524705855,118.5255532
0.52529409,118.5255532
0.525882325,118.5255532
0.526470561,118.5255532
0.527058796,118.9329601
0.527647031,118.9329601
0.528235266,118.9329601
0.528823502,118.9329601
0.529411737,118.9329601
0.529999973,119.586471
0.530588208,119.586471
0.531176443,119.586471
0.531764678,119.586471
0.532352913,119.586471
0.532941149,119.9940524
0.533529384,119.9940524
0.534117619,119.9940524
0.534705854,119.9940524
0.53529409,120.647398
0.535882325,120.647398
0.536470561,120.647398
0.537058795,120.647398
0.537647031,120.647398
0.538235266,120.647398
0.538823502,121.3010114
0.539411737,121.3010114
0.539999971,121.3010114
0.540588207,121.3010114
0.541176442,121.7084359
0.541764678,121.7084359
0.542352913,121.7084359
0.542941148,121.7084359
0.543529383,121.7084359
0.544117619,122.3619366
0.544705854,122.3619366
0.54529409,122.3619366
0.545882324,122.3619366
0.54647056,122.7695314
0.547058795,122.7695314
0.54764703,122.7695314
0.548235266,122.7695314
0.548823501,122.7695314
0.549411736,123.4229212
0.549999971,123.4229212
0.550588207,123.4229212
0.551176442,123.8306831
0.551764677,123.8306831
0.552352912,123.8306831
0.552941148,123.8306831
0.553529383,123.8306831
0.554117618,123.8306831
0.554705853,124.4839119
0.555294088,124.4839119
0.555882324,124.4839119
0.556470559,124.4839119
0.557058795,124.8918381
0.55764703,124.8918381
0.558235265,124.8918381
0.5588235,124.8918381
0.559411736,124.8918381
0.559999971,125.5450105
0.560588206,125.5450105
0.561176441,125.5450105
0.561764676,125.5450105
0.562352912,125.9522401
0.562941147,125.9522401
